date,id,value,Lag_1,Lag_2,Lag_4,Lag_8,Rolling_Mean_4Q,Rolling_Mean_8Q,Rolling_Std_4Q,Rolling_Std_8Q,QoQ_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_4,EMA_8,ROC,RSI,GDP_Value,GDP_Lag_1,GDP_Lag_2,GDP_Lag_4,GDP_Lag_8,GDP_Rolling_Mean_4Q,GDP_Rolling_Mean_8Q,GDP_Rolling_Std_4Q,GDP_Rolling_Std_8Q,GDP_Cumulative_Sum,GDP_Cumulative_Product,GDP_Trend,GDP_EMA_4,GDP_EMA_8
1947-01-01,0.0,0.0,,,,,,,,,,,0.0,,,0.7084593776586416,,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0
1947-04-01,0.0032362459546925,9.8781127548523e-05,0.0,,,,,,,,0.5547320574533576,,0.0001087513353726,0.0,,0.0,,4.028592724213652e-05,2.304899823609742e-05,,,9.8781127548523e-05,0.0,,,,,,,,9.8781127548523e-05,0.0,,3.95124510194092e-05,2.1951361677449556e-05
1947-07-01,0.0064724919093851,0.0002262031455025,0.0001000499179155,0.0,,,,,,,0.5734323478605352,,0.0002191018770649,0.000127434606088,0.0,1.0,0.6270844551584087,0.0001164240309607,7.070788938198964e-05,,,0.0002262031455025,9.8781127548523e-05,0.0,,,,,,,0.00032498427305102304,0.0,,0.00011418872881264553,6.734064697190521e-05
1947-10-01,0.0097087378640776,0.0005841262039522,0.0002291086030441,0.0001011769068112,,,0.0,,0.0045856593992628,,0.7266381385381936,,0.0003339445216625,0.0004853930240739,0.0002221732660255,0.612508279424901,0.8233397315313429,0.0003080787265656,0.0001912915442448,,,0.0005841262039522,0.0002262031455025,9.8781127548523e-05,,,0.00022727761925080576,,0.00025528319665901305,,0.000909110477003223,0.0,,0.00030216371886846734,0.00018218188185641516
1948-01-01,0.0129449838187702,0.000795392402921,0.0005916289903557,0.0002316893433077,0.0,,0.0002025532383842,,0.0061918606908607,,0.6228240497884131,0.6094259535209231,0.000451438656528,0.0006966800942177,0.0004761204218768,0.7084593776586416,0.7737105876704096,0.0005092322806159,0.0003343744242356,0.6094259535209234,,0.000795392402921,0.0005841262039522,0.0002262031455025,0.0,,0.00042612571998105575,,0.0003206480698239841,,0.001704502879924223,0.0,,0.0004994551924894804,0.00031845088653743403
1948-04-01,0.0161812297734627,0.0010358279220075,0.0008056087898348,0.0005982932567179,0.0001045494366709,,0.0004411799363992,,0.0067478747977005,,0.638112432201245,0.6670603122282833,0.0005719503703628,0.0009371393661423,0.0007030599972677,0.0,0.811967829337835,0.000727981279461,0.0005017628964622,0.6670603122282832,,0.0010358279220075,0.000795392402921,0.0005841262039522,9.8781127548523e-05,,0.0006603874185958001,,0.0003432752410021016,,0.0027403308019317233,0.0,,0.0007140042842966883,0.00047786800553078205
1948-07-01,0.0194174757281553,0.001269358626187,0.0010491325736342,0.000814683381592,0.0002394122442453,,0.0007068280868907,,0.005599351275604,,0.6300864926670383,0.7066445707853952,0.0006953930044888,0.0011706931410269,0.0008382018096316,1.0,0.9163162135780888,0.0009544715531219,0.0006864445899408,0.7066445707853952,,0.001269358626187,0.0010358279220075,0.000795392402921,0.0002262031455025,,0.000921176288766925,,0.0002965357104454439,,0.004009689428118723,0.0,,0.0009361460210528129,0.0006537548101210527
1948-10-01,0.0226537216828478,0.0013105761437447,0.0012856628538989,0.0010609502820865,0.0006182361659916,,0.0008918245581779,0.0,0.0041603664102087,0.0065560547456547,0.5114807223195245,0.5586811548643233,0.0008193529378666,0.0012119147304997,0.0008746877948772,0.612508279424901,0.9306368748097764,0.0011071754658467,0.0008397033564262,0.5586811548643233,,0.0013105761437447,0.001269358626187,0.0010358279220075,0.0005841262039522,,0.00110278877371505,0.0006650331964829279,0.00023797576300617937,0.0005207749014699263,0.005320265571863423,0.0,,0.001085918070129568,0.0007997151064818633
1949-01-01,0.0258899676375404,0.0011227369953535,0.0013274097882645,0.0013001449023617,0.0008418392229516,0.0,0.0009751855596424,0.0001471044537675,0.0014535353908674,0.005602436054921,0.3747360006378968,0.3912227216752132,0.0009409554014915,0.0010240570253126,0.0008407001689482,0.7084593776586416,0.7390622540871696,0.0011221913355732,0.000915075354414,0.3912227216752131,,0.0011227369953535,0.0013105761437447,0.001269358626187,0.000795392402921,0.0,0.001184624921823175,0.0008053753209021154,0.00012782041250077337,0.00046415850217531245,0.006443002567216923,0.0,,0.0011006456402191406,0.0008714977484533381
1949-04-01,0.029126213592233,0.0009929898866655,0.0011371579472068,0.0013423620853036,0.001096314938101,0.0001108251816155,0.0009642765004753,0.0002642664352543,0.0018774894839271,0.0039700475707955,0.4078897620214839,0.2425958863057503,0.0010609294778132,0.0008942970987928,0.000768207088308,0.0,0.6799589147484042,0.0010782860678111,0.0009434236042148,0.2425958863057503,,0.0009929898866655,0.0011227369953535,0.0013105761437447,0.0010358279220075,9.8781127548523e-05,0.001173915412987675,0.0009171514157917376,0.00014507335935467306,0.0003672434992299846,0.007435992453882424,0.0,,0.0010575833387976843,0.0008984960013893741
